编号,签订时间,名称,签订对象
1130,1947/2/19,准许日本渔轮公海捕鱼办法,国际组织
1131,1947/4/1,取消葡萄牙在华领裁权换文,葡萄牙
1132,1947/4/18,友好条约,菲律宾
1133,1947/5/28,财政附协定,加拿大
1134,1947/6/28,修增中越航空临时办法换文,法国
1135,1947/7/1,直达无线电通话合同,美国
1136,1947/7/15,售购战时建造船舶合约,美国
1137,1947/7/15,售让船舶合约,美国
1138,1947/7/23,空中运输协定,英国
1139,1947/7/30,解决战争引起损害赔偿换文,意大利
1140,1947/7/30,处理在华义国官产义侨产业换文,意大利
1141,1947/9/3,美国武装部队驻扎中国领土换文,美国
1142,1947/9/22,处理剩余救济物资协定,美国
1143,1947/10/20,报务合同,法国
1144,1947/10/20,延展中越航空临时协定节略,法国
1145,1947/10/24,友好条约互换批准议定书,菲律宾
1146,1947/10/27,美国救济援助中国人民协定,美国
1147,1947/11/10,剩余战时财产出售资金协定,美国
1148,1947/12/6,空中运输协定,荷兰
1149,1947/12/8,关于转让海军船舰及装备协定,美国
1150,1947/12/23,让予海军船舰及装备协定,美国
1151,1947/12/26,报务合同,美国
1152,1947/12/26,使馆界资产义务清理协议书,各国
1153,1947/12/26,采煤借款修正合约,美国
1154,1948/1/10,铁路购料借款第二次修正合约,美国
1155,1948/1/12,长途电话合同,英国
1156,1948/3/4,中国海关与香港关务协定换文,英国
1157,1948/3/12,金融协定,葡萄牙
1158,1948/3/17,关务协定,葡萄牙
1159,1948/4/28,驻华美军引起赔偿问题换文,美国
1160,1948/4/30,购买发电机贷款第二次修正,美国
1161,1948/5/10,美国实施援华法案换文,美国
1162,1948/5/18,补充中越航空增辟昆明河内换文,法国
1163,1948/5/21,英国船舰转移及互放要求换文,英国
1164,1948/5/21,联合国儿童急救基金会协定,国际组织
1165,1948/7/1,棉花加工及棉品分配附协定,国际组织
1166,1948/7/3,关于附加援助条件之换文,美国
1167,1948/7/3,占领区西德及的港通商待遇换文,美国
1168,1948/7/26,关于经济援助之协定,美国
1169,1948/7/28,关于1948年经济援助协定换文,美国
1170,1948/8/5,解释1948年经济援助协定换文,美国
1171,1948/8/6,设立中国农村复兴委员会换文,美国
1172,1948/10/18,关于附加援助程序之换文,美国
1173,1948/11/18,海关与香港关税协定地图说明,英国
1174,1948/11/30,关于救济物资及包裹之换文,美国
1175,1948/1/1,友好通商航海条约批准议定书,美国
1176,1949/1/27,金融协定,英国
1177,1949/3/26,让售剩余物资修正合约,美国
1178,1949/4/22,修正1948年经济援助协定换文,美国
1179,1949/4/30,友好条约,意大利
1180,1949/5/31,修订航空临时办法换文,法国
1181,1949/6/27,延长哈阿线航空公司协定,苏联
1182,1949/8/25,展延及修正1948年协定换文,美国
